F043	DISPLAY_CALL_NO	TITLE	URL_Voyager	NORMALIZED_CALL_NO
	"HV5801 .K49 2013"	"Key concepts in drugs and society / Ross Coomber ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571152	"HV 5801            K 49   2013"
	"PR3091 .R647 2013"	"Shakespeare for young people : productions, versions and adaptations / Abigail Rokison. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571153	"PR 3091            R 647   2013"
"  ae-ru---"	"DK565 .K44 2013"	"St Petersburg and the Russian court, 1703-1761 / Paul Keenan, lecturer in international history, London School of Economics, UK. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571154	"DK  565            K 44   2013"
"  ae-it---"	"PQ4713.P5 B67 2013"	"Romanzo indiscreto : epistemologia del privato nei Promessi sposi / Alessandro Bosco. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670425	"PQ 4713            P 5   B 67   2013"
	"PQ4815.O74 Z748 2013"	"Antica promessa : studi su Fortini / Luca Lenzini. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670436	"PQ 4815            O 74   Z 748   2013"
"  ae-it---"	"PQ4627.M84 Z84 2013"	"Portrait of a Renaissance feminist : Lucrezia Marinella's life and works / edited by Antonella Cagnolati ; contributions by Antonella Cagnolati ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670438	"PQ 4627            M 84   Z 84   2013"
	"PQ4390 .R485 2013"	"Dante poeta-profeta, pellegrino, autore : strutturazione espressiva della Commedia e visione escatologica dantesca / Maria Gabriella Riccobono. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670440	"PQ 4390            R 485   2013"
"  an-us-ncan-us-tn"	"F443.G7 S68 2013"	"Clingmans Dome : highest mountain in the Great Smokies / Marci Spencer ; foreword by George Ellison. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670442	"F  443            G 7   S 68   2013"
"  ae-it---"	"PS3531.O82 Z624 2009"	"Roma/amor : Ezra Pound, Rome, and love / edited by William Pratt, Caterina Ricciardi. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670452	"PS 3531            O 82   Z 624   2009"
	"E467.1.M87 C66 2013"	"Mosby's raids in Civil War northern Virginia / William S. Connery. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670478	"E  4671           M 87   C 66   2013"
	"F497.F8 H56 2013"	"Columbus and the great flood of 1913 : the disaster that reshaped the Ohio Valley / Conrade C. Hinds. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670479	"F  497            F 8   H 56   2013"
	"HT371 .C74 2013"	"Creating smart-er cities / edited by Mark Deakin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670480	"HT  371            C 74   2013"
	"DS326 .S427 2011"	"Security in the Gulf : historical legacies and future prospects / edited by Matteo Legrenzi. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4670481	"DS  326            S 427   2011"
	"H61 .S5851 2013"	"Revitalizing the classics : what past social theorists can teach us today / Tony Simmons. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686281	"H   61            S 5851   2013"
	"HQ759 .S78 2013"	"South Asian mothering : negotiating culture, family and selfhood / edited by Jasjit K. Sangha and Tahira Gonsalves. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686283	"HQ  759            S 78   2013"
"  an-us-ca"	"PS3552.O8126 T86 2013"	"Tumbledown : a novel / Robert Boswell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686286	"PS 3552            O 8126   T 86   2013"
"  ae------"	"D269 .C77 2013"	"Westphalia : the last Christian peace / Derek Croxton. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4686288	"D  269            C 77   2013"
