Title	Continent	ConName	Country	NationName	State	StateName	Lat	Long	Subject	SubSubject	URL
"Hothouse : the art of survival and the survival of art at America's most celebrated publishing house, Farrar, Straus and Giroux / Boris Kachka. "	n	North America	us	United States	ny	New York	42.965	-76.0167	Z	4	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692439
"Idea of the ANC / Anthony Butler. "	f	Africa	sa	South Africa	--		-29	24	J	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692450
"Force field : 77 women poets of British Columbia / edited by Susan Musgrave. "	n	North America	cn	Canada	--		60	-95	P	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690462
"Feral : rewilding the land, the sea, and human life / George Monbiot. "	e	Europe	uk	Great Britain	--		54	-2	Q	H	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690464
"Newfoundland diaspora : mapping the literature of out-migration / Jennifer Bowering Delisle. "	n	North America	cn	Canada	nf		60	-95	P	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4690474
"Animal bodies, Renaissance culture / Karen Raber. "	e	Europe	--		--		48.7333	18.9333	B	1	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691351
"After translation : the transfer and circulation of modern poetics across the Atlantic / Ignacio Infante. "	e	Europe	--		--		48.7333	18.9333	P	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691359
"Giving to help, helping to give : the context and politics of African philanthropy / edited by Tade Akin Aina & Bhekinkosi Moyo. "	f	Africa	--		--		2.378	16.063	B	J	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691363
"Modeling electric distribution with GIS / Bill Meehan. "	n	North America	us	United States	--		38	-97	H	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691379
"MVRDV : agendas on urbanism / [preface text by Winy Mass]. "	e	Europe	ne	Netherlands	--		52.5	5.75	N	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691381
"Peacebuilding in practice : local experience in two Bosnian towns / Adam Moore. "	e	Europe	bn	Bosnia and Hercegovina	--		44	18	D	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691382
"Broadcasting and the NHS in the Thatcherite 1980s : the challenge to public service / Patricia Holland, with Hugh Chignell and Sherryl Wilson. "	e	Europe	uk	Great Britain	--		54	-2	H	E	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691393
"Class rules : exposing inequality in American high schools / Peter W. Cookson Jr. "	n	North America	us	United States	--		38	-97	L	C	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691397
"How labour governments fall : from Ramsay MacDonald to Gordon Brown / edited by Timothy Heppell and Kevin Theakston. "	e	Europe	uk	Great Britain	--		54	-2	J	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691400
"Rotinonshonni : a traditional Iroquoian history through the eyes of Teharonhia:wako and Sawiskera / Brian Rice. "	n	North America	us	United States	ny	New York	42.965	-76.0167	E	9	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691406
"Sweet thunder / Ivan Doig. "	n	North America	us	United States	mt	Montana	47.0317	-109.6383	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691409
"Three / by Atiq Rahimi. "	a	Asia	af	Afghanistan	--		33	65	P	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691410
"Tie that bound us : the women of John Brown's family and the legacy of radical abolitionism / Bonnie Laughlin-Schultz. "	n	North America	us	United States	--		38	-97	E	4	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691411
"Unclenching our fists : abusive men on the journey to nonviolence / Sara Elinoff Acker ; photography by Peter Acker. "	n	North America	us	United States	--		38	-97	H	V	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691412
"Army in British India : from colonial warfare to total war 1857-1947 / Kaushik Roy. "	e	Europe	uk	Great Britain	--		54	-2	U	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691415
"Commemoration in America : essays on monuments, memorialization, and memory / edited by David Gobel and Daves Rossell. "	n	North America	us	United States	--		38	-97	N	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691417
"Conservative Party economic policy : from heath in opposition to Cameron in coalition / Richard Wade. "	e	Europe	uk	Great Britain	--		54	-2	H	C	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691418
"Constructing Cassandra : reframing intelligence failure at the CIA, 1947-2001 / Milo Jones and Philippe Silberzahn. "	n	North America	us	United States	--		38	-97	J	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691419
"Everyday life in the North Korean revolution, 1945-1950 / Suzy Kim. "	a	Asia	kn	Korea (North)	--		40	127	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691422
"Teaching twos and threes : a comprehensive curriculum / Deborah Falasco. "	n	North America	us	United States	--		38	-97	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691429
"American ski resort : architecture, style, experience / Margaret Supplee Smith. "	n	North America	us	United States	--		38	-97	G	V	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691435
"Cut dead but still alive : caring for African American young men / Gregory C. Ellison II. "	n	North America	us	United States	--		38	-97	E	1	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691439
"Good Lord Bird / James McBride. "	n	North America	us	United States	--		38	-97	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691442
"History and practice of humanitarian intervention and aid in Africa / edited by Bronwen Everill, University of Warwick, UK, and Josiah Kaplan, University of Oxford, UK. "	f	Africa	--		--		2.378	16.063	J	Z	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691443
"One family's Shoah : victimization, resistance, survival in Nazi Europe / Herbert Lindenberger. "	e	Europe	gx	Germany	--		51	9	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691448
"Qatar : small state, big politics / Mehran Kamrava. "	a	Asia	qa	Qatar	--		25.5	51.25	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691451
"Reconfiguring the Union : Civil War transformations / edited by Iwan W. Morgan and Philip John Davies. "	n	North America	us	United States	--		38	-97	E	4	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691452
"Surabaya, 1945-2010 : neighbourhood, state and economy in Indonesia's city of struggle / Robbie Peters. "	a	Asia	io	Indonesia	--		-5	120	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691454
"Buck : a memoir / MK Asante. "	n	North America	us	United States	pa	Pennsylvania	40.8967	-77.7467	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691458
"Germany and the Black diaspora : points of contact, 1250-1914 / edited by Mischa Honeck, Martin Klimke, and Anne Kuhlmann. "	e	Europe	gx	Germany	--		51	9	D	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691464
"Igbo intellectual tradition : creative conflict in African and African diasporic thought / edited by Gloria Chuku. "	f	Africa	nr	Nigeria	--		10	8	D	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691466
"Teachers and scholars : a memoir of Berkeley in depression and war / Robert Nisbet. "	n	North America	us	United States	ca	California	34.815	-92.3017	L	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691481
"Forma che include tutto : Henry James e la teoria del romanzo / Donata Meneghelli. "	n	North America	us	United States	--		38	-97	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691508
"American story : combined volume / Robert A. Divine ... [et al.]. "	n	North America	us	United States	--		38	-97			https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691836
"Abraham in arms : war and gender in colonial New England / Ann M. Little. "	n	North America	us	United States	--		38	-97	F	7	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691844
"Manicomio catala¿¿n : reflexiones de un barcelone¿¿s hastiado / Ramo¿¿n de Espan¿¿a. "	e	Europe	sp	Spain	--		40	-4	D	P	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691845
"Oceans of wine : Madeira and the emergence of American trade and taste / David Hancock. "	l	Europe	ma	Spain	--		40	-4	H	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697843
"Week in the life of Corinth / Ben Witherington III. "	e	Europe	gr	Greece	--		39	22	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697848
"Educating Asian Americans : achievement, schooling, and identities / edited by Russell Endo, University of Colorado, Xue Lan Rong, University of North Carolina, Chapel Hill. "	n	North America	us	United States	--		38	-97	L	C	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697853
"Shaping the New World : African slavery in the Americas, 1500-1888 / Eric Nellis. "	s	South America	bl	Brazil	--	 	-10	-55	H	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697866
"Troubling nationhood in U.S. Latina literature : explorations of place and belonging / Maya Socolovsky. "	n	North America	us	United States	--		38	-97	P	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697874
"Understanding early years inequality : policy, assessment and young children's identities / Alice Bradbury. "	e	Europe	uk	Great Britain	--		54	-2	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697875
"Lonely ideas : can Russia compete? / Loren Graham. "	e	Europe	ru	Russia	--		60	100	T	1	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4697888
"Linea poetica piemontese-ligure : Gozzano, Vallini, Sbarbaro, Montale / Eleonora Cardinale. "	e	Europe	it	Italy	--		42.8333	12.8333	P	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698266
"Metafisica e cosmologia in Dante : il tema della rovina angelica / Marco Gallarino. "	e	Europe	it	Italy	--		42.8333	12.8333	P	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698274
"Scrittori vicentini e la lingua italiana / a cura di Antonio Daniele. "	e	Europe	it	Italy	--		42.8333	12.8333	P	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698277
"She's got what it takes : American women artists in dialogue : Jennifer Bartlett, Louise Fishman, Jane Freilicher, Joyce Kozloff, Elaine Reichek, Joan Snyder, Pat Steir, Ursula von Rydinsvard, Betty Woodman / Deanna Sirlin. "	n	North America	us	United States	--		38	-97	N	6	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698290
"Skyscraper / Tahsi¿¿n Yu¿¿cel ; translated by Ender Gu¿¿rol. "	a	Asia	tu	Turkey	--		39	35	P	L	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698296
"Crime and refuge / Odd Nerdrum ; written by Hanne Nabintu Herland, Gregory David Roberts. "	e	Europe	no	Norway	--		62	10	N	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4698297
