F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"JA3 C67"	"Comparative politics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=198962		"JA    3            C 67"
	"HG181 .D76 1967"	"Money and credit: impact and control / [by] James S. Duesenberry. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=216445		"HG  181            D 76   1967"
"  an-us---"	"JK1 .N28"	"National journal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=199125		"JK    1            N 28"
	"HX811 1516 .E968 1969"	"Utopia. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=217700		"HX  811       1516 E 968   1969"
	"JC143 .M38 1640a"	"Nicholas Machiavel's Prince. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=217859		"JC  143            M 38   1640 A"
	"JC153 .H65 1909"	"Hobbes's Leviathan. Reprinted from the ed. of 1651. With an essay by the late W. G. Pogson Smith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=217905		"JC  153            H 65   1909"
	"JC423 .D25"	"Preface to democratic theory. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218115		"JC  423            D 25"
	"JC507 .A5 1962"	"Public interest. Edited by Carl J. Friedrich. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218307		"JC  507            A 5   1962"
	"JK31 .E4"	"Philosophy of the American Constitution : a reinterpretation of the intentions of the Founding Fathers / by Paul Eidelberg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218441		"JK   31            E 4"
"  an-us---"	"KF48 .U5"	"United States code congressional and administrative news. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=201079		"KF   48            U 5"
	"JK155 D5"	"Federalist; a classic on federalism and free government. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218865		"JK  155            D 5"
	"JC571 .N68"	"Anarchy, state, and utopia / Robert Nozick. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218897		"JC  571            N 68"
	"JK1161 .R55 1969"	"Power in the Senate / Randall B. Ripley. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=218905		"JK 1161            R 55   1969"
	"KF200 .J8"	"Judicature. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=201781		"KF  200            J 8"
"  an-us-ca"	"KF384 .L3"	"Law & society review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=201805		"KF  384            L 3"
	"JF51 .B58 1969b"	"Introduction to comparative government. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=219173		"JF   51            B 58   1969 B"
"  aa-ii---"	"HD82 .O565 1982"	"Rise and decline of nations : economic growth, stagflation, and social rigidities / Mancur Olson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=214098		"HD   82            O 565   1982"
	"HB501 .B665 1959"	"Capital and interest / translated by George D. Huncke and Hans F. Sennholz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=235135		"HB  501            B 665   1959"
	"HA29 .P517"	"Statistical thinking : a structural approach / John L. Phillips, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=235324		"HA   29            P 517"
